Precision,Recall
0.03566651805617477,1.0
0.035811423390752495,0.9875
0.036172161172161175,0.9875
0.036523347202958856,0.9875
0.03681267474370923,0.9875
0.036671368124118475,0.975
0.03712517848643503,0.975
0.03744599135861738,0.975
0.03768115942028986,0.975
0.03795620437956204,0.975
0.038366945400885394,0.975
0.03876739562624255,0.975
0.03867403314917127,0.9625
0.0389873417721519,0.9625
0.039285714285714285,0.9625
0.03964984552008239,0.9625
0.040062434963579606,0.9625
0.04044117647058824,0.9625
0.040719196192490745,0.9625
0.04046858359957402,0.95
0.04068522483940043,0.95
0.04043126684636118,0.9375
0.04071661237785016,0.9375
0.04084967320261438,0.9375
0.041050903119868636,0.9375
0.04123144584936778,0.9375
0.04159733777038269,0.9375
0.041993281075028,0.9375
0.042134831460674156,0.9375
0.04232505643340858,0.9375
0.042662116040955635,0.9375
0.04288164665523156,0.9375
0.04305396096440873,0.9375
0.04335260115606936,0.9375
0.0429732868757259,0.925
0.04314868804664723,0.925
0.043478260869565216,0.925
0.043683589138134596,0.925
0.04399524375743163,0.925
0.044337926902336726,0.925
0.04447115384615385,0.925
0.04487568223165555,0.925
0.04523227383863081,0.925
0.04548248309772587,0.925
0.045763760049474335,0.925
0.0460772104607721,0.925
0.04625,0.925
0.04642409033877039,0.925
0.046865104496516784,0.925
0.046408137317228225,0.9125
0.04658583280153159,0.9125
0.04685494223363286,0.9125
0.047157622739018086,0.9125
0.047526041666666664,0.9125
0.04736842105263158,0.9
0.04765056254136334,0.9
0.04809619238476954,0.9
0.048484848484848485,0.9
0.04878048780487805,0.9
0.04918032786885246,0.9
0.04951856946354883,0.9
0.0497581202487906,0.9
0.049237170596393896,0.8875
0.04958100558659218,0.8875
0.049894588896697116,0.8875
0.05028328611898017,0.8875
0.05,0.875
0.050143266475644696,0.875
0.05043227665706052,0.875
0.050835148874364564,0.875
0.051207022677395755,0.875
0.051470588235294115,0.875
0.05200594353640416,0.875
0.05223880597014925,0.875
0.05247376311844078,0.875
0.0526711813393529,0.875
0.05303030303030303,0.875
0.053516819571865444,0.875
0.053405572755417956,0.8625
0.053654743390357695,0.8625
0.05416012558869702,0.8625
0.05458860759493671,0.8625
0.05502392344497608,0.8625
0.05542168674698795,0.8625
0.05596107055961071,0.8625
0.05646481178396072,0.8625
0.05688375927452597,0.8625
0.05740432612312812,0.8625
0.05690376569037657,0.85
0.056587837837837836,0.8375
0.05706984667802385,0.8375
0.057461406518010294,0.8375
0.05775862068965517,0.8375
0.058260869565217394,0.8375
0.05856643356643357,0.8375
0.05918727915194346,0.8375
0.059555555555555556,0.8375
0.059245960502693,0.825
0.05972850678733032,0.825
0.06,0.825
0.05952380952380952,0.8125
0.05974264705882353,0.8125
0.060240963855421686,0.8125
0.06069094304388422,0.8125
0.06120527306967985,0.8125
0.061611374407582936,0.8125
0.06208213944603629,0.8125
0.06165703275529865,0.8
0.06207565470417071,0.8
0.062317429406037,0.8
0.06286836935166994,0.8
0.06324110671936758,0.8
0.06380857427716849,0.8
0.06432160804020101,0.8
0.06490872210953347,0.8
0.065439672801636,0.8
0.06632124352331606,0.8
0.06715634837355719,0.8
0.06786850477200425,0.8
0.06830309498399147,0.8
0.06911447084233262,0.8
0.06956521739130435,0.8
0.06930693069306931,0.7875
0.0684326710816777,0.775
0.06888888888888889,0.775
0.06935123042505593,0.775
0.06997742663656885,0.775
0.07085714285714285,0.775
0.07052023121387284,0.7625
0.07093023255813953,0.7625
0.07126168224299065,0.7625
0.07075471698113207,0.75
0.07125890736342043,0.75
0.07194244604316546,0.75
0.07255139056831923,0.75
0.07107843137254902,0.725
0.07151664611590629,0.725
0.07231920199501247,0.725
0.07407407407407407,0.725
0.07435897435897436,0.725
0.07503234152652005,0.725
0.07431551499348109,0.7125
0.07470511140235911,0.7125
0.0758988015978695,0.7125
0.07547169811320754,0.7
0.07650273224043716,0.7
0.07468879668049792,0.675
0.075,0.675
0.0759493670886076,0.675
0.075177304964539,0.6625
0.07604017216642754,0.6625
0.07547169811320754,0.65
0.0746705710102489,0.6375
0.075,0.6375
0.07600596125186289,0.6375
0.07541478129713423,0.625
0.07564296520423601,0.625
0.07598784194528875,0.625
0.07656967840735068,0.625
0.07727975270479134,0.625
0.0778816199376947,0.625
0.07836990595611286,0.625
0.07898894154818326,0.625
0.07923930269413629,0.625
0.07802547770700637,0.6125
0.0784,0.6125
0.07890499194847021,0.6125
0.07928802588996764,0.6125
0.07967479674796749,0.6125
0.08019639934533551,0.6125
0.07907742998352553,0.6
0.07833333333333334,0.5875
0.07859531772575251,0.5875
0.07899159663865546,0.5875
0.07952622673434856,0.5875
0.08047945205479452,0.5875
0.07652173913043478,0.55
0.07678883071553229,0.55
0.07760141093474426,0.55
0.07801418439716312,0.55
0.07733812949640288,0.5375
0.07775768535262206,0.5375
0.07875457875457875,0.5375
0.07962962962962963,0.5375
0.07992565055762081,0.5375
0.08037383177570094,0.5375
0.08,0.525
0.08108108108108109,0.525
0.08171206225680934,0.525
0.08070866141732283,0.5125
0.08151093439363817,0.5125
0.08167330677290836,0.5125
0.08266129032258064,0.5125
0.08196721311475409,0.5
0.08281573498964803,0.5
0.08368200836820083,0.5
0.08385744234800839,0.5
0.08297872340425531,0.4875
0.0835117773019272,0.4875
0.08225108225108226,0.475
0.08296943231441048,0.475
0.08388520971302428,0.475
0.08501118568232663,0.475
0.08333333333333333,0.4625
0.08447488584474885,0.4625
0.08525345622119816,0.4625
0.08372093023255814,0.45
0.08254716981132075,0.4375
0.08353221957040573,0.4375
0.08454106280193237,0.4375
