Precision,Recall
0.03573023671281822,1.0
0.035778985507246376,0.9875
0.03627180899908173,0.9875
0.036127836961556276,0.975
0.03651685393258427,0.975
0.03684459140292867,0.975
0.037178265014299335,0.975
0.0375,0.975
0.03788246721709568,0.975
0.03831041257367387,0.975
0.03861386138613861,0.975
0.03905858788182273,0.975
0.03884964682139253,0.9625
0.03904665314401623,0.9625
0.03936605316973415,0.9625
0.03973168214654283,0.9625
0.03956272774596564,0.95
0.039790575916230364,0.95
0.04021164021164021,0.95
0.04044704630122405,0.95
0.040619989310529125,0.95
0.04086021505376344,0.95
0.041192411924119245,0.95
0.041462084015275506,0.95
0.041666666666666664,0.95
0.041965764770844835,0.95
0.042269187986651836,0.95
0.04267265581134194,0.95
0.04284103720405862,0.95
0.04310833806012479,0.95
0.04337899543378995,0.95
0.043528064146620846,0.95
0.04380403458213256,0.95
0.04395604395604396,0.95
0.0436046511627907,0.9375
0.04327485380116959,0.925
0.04355503237198352,0.925
0.04386484884410195,0.925
0.044073853484216795,0.925
0.04439112177564487,0.925
0.04465902232951117,0.925
0.044740024183796856,0.925
0.04487568223165555,0.925
0.044730392156862746,0.9125
0.04514533085961658,0.9125
0.04531346989447548,0.9125
0.04551122194513716,0.9125
0.04585427135678392,0.9125
0.0461441213653603,0.9125
0.04652644996813257,0.9125
0.04682488774855677,0.9125
0.04727979274611399,0.9125
0.04755700325732899,0.9125
0.047774869109947646,0.9125
0.04730617608409987,0.9
0.04765056254136334,0.9
0.047872340425531915,0.9
0.04806408544726302,0.9
0.0484196368527236,0.9
0.0486815415821501,0.9
0.04891304347826087,0.9
0.04856361149110807,0.8875
0.04879725085910653,0.8875
0.049271339347675226,0.8875
0.0496156533892383,0.8875
0.04996481351161154,0.8875
0.050390347764371894,0.8875
0.05060584461867427,0.8875
0.05021520803443329,0.875
0.050505050505050504,0.875
0.05079825834542816,0.875
0.05098324836125273,0.875
0.051470588235294115,0.875
0.05166051660516605,0.875
0.05192878338278932,0.875
0.05219985085756898,0.875
0.05259203606311044,0.875
0.0529500756429652,0.875
0.053231939163498096,0.875
0.05363984674329502,0.875
0.05388760585065435,0.875
0.05430566330488751,0.875
0.054773082942097026,0.875
0.05511811023622047,0.875
0.05582137161084529,0.875
0.05627009646302251,0.875
0.05668016194331984,0.875
0.05714285714285714,0.875
0.05747126436781609,0.875
0.057803468208092484,0.875
0.05813953488372093,0.875
0.05862646566164154,0.875
0.059322033898305086,0.875
0.059431524547803614,0.8625
0.05994787141615986,0.8625
0.06042031523642732,0.8625
0.06007067137809187,0.85
0.060660124888492414,0.85
0.06104129263913824,0.85
0.06052393857271906,0.8375
0.060909090909090906,0.8375
0.061467889908256884,0.8375
0.061979648473635525,0.8375
0.06238361266294227,0.8375
0.061567164179104475,0.825
0.061855670103092786,0.825
0.06143667296786389,0.8125
0.06118546845124283,0.8
0.061955469506292354,0.8
0.0624390243902439,0.8
0.06286836935166994,0.8
0.0631163708086785,0.8
0.06355511420059583,0.8
0.06387225548902195,0.8
0.06438631790744467,0.8
0.06471183013144591,0.8
0.065439672801636,0.8
0.06611570247933884,0.8
0.06632124352331606,0.8
0.06722689075630252,0.8
0.06794055201698514,0.8
0.06852248394004283,0.8
0.06896551724137931,0.8
0.06956521739130435,0.8
0.07025246981339188,0.8
0.06881243063263041,0.775
0.06958473625140292,0.775
0.07045454545454545,0.775
0.0711825487944891,0.775
0.07052023121387284,0.7625
0.07109557109557109,0.7625
0.06949352179034157,0.7375
0.0688836104513064,0.725
0.06738868832731648,0.7
0.0681265206812652,0.7
0.06888068880688807,0.7
0.069221260815822,0.7
0.07,0.7
0.07061790668348046,0.7
0.0697084917617237,0.6875
0.07042253521126761,0.6875
0.0710594315245478,0.6875
0.07152145643693109,0.6875
0.06928104575163399,0.6625
0.07001321003963012,0.6625
0.07085561497326204,0.6625
0.07142857142857142,0.6625
0.07191316146540028,0.6625
0.07270233196159122,0.6625
0.07340720221606649,0.6625
0.07361111111111111,0.6625
0.07454289732770746,0.6625
0.07560627674750357,0.6625
0.0755813953488372,0.65
0.07580174927113703,0.65
0.0763582966226138,0.65
0.07578008915304606,0.6375
0.07589285714285714,0.6375
0.07657657657657657,0.6375
0.07750759878419453,0.6375
0.07786259541984733,0.6375
0.07739938080495357,0.625
0.078003120124805,0.625
0.07911392405063292,0.625
0.0784,0.6125
0.07754442649434572,0.6
0.07804878048780488,0.6
0.07781456953642384,0.5875
0.07692307692307693,0.575
0.07563025210084033,0.5625
0.07679180887372014,0.5625
0.0757314974182444,0.55
0.0763888888888889,0.55
0.07665505226480836,0.55
0.07719298245614035,0.55
0.07583774250440917,0.5375
0.07678571428571429,0.5375
0.07733812949640288,0.5375
0.07747747747747748,0.5375
0.07818181818181819,0.5375
0.07933579335793357,0.5375
0.08037383177570094,0.5375
0.08067542213883677,0.5375
0.07909604519774012,0.525
0.07969639468690702,0.525
0.08,0.525
0.08045977011494253,0.525
0.08155339805825243,0.525
0.07905138339920949,0.5
0.0783132530120482,0.4875
0.07862903225806452,0.4875
0.07910750507099391,0.4875
0.07975460122699386,0.4875
0.08091286307053942,0.4875
0.08176100628930817,0.4875
0.08016877637130802,0.475
0.080338266384778,0.475
0.07956989247311828,0.4625
0.08008658008658008,0.4625
0.08043478260869565,0.4625
0.08078602620087336,0.4625
0.08167770419426049,0.4625
0.07982261640798226,0.45
0.08053691275167785,0.45
0.08108108108108109,0.45
0.08163265306122448,0.45
0.08256880733944955,0.45
0.08314087759815242,0.45
0.08411214953271028,0.45
0.08530805687203792,0.45
